produit,categorie,annee,prix_mad_par_kg,prix_usd_par_kg,produit_faostat,code_produit_cpc,drapeau_qualite,source,source_url
Clémentines,Fruits,2024,3.87,0.389,"Tangerines, mandarins, clementines",'01324,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Olives,Fruits,2000,3.26,0.307,Olives,'01450,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Olives,Fruits,2001,3.13,0.277,Olives,'01450,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Olives,Fruits,2002,3.59,0.326,Olives,'01450,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Olives,Fruits,2003,2.76,0.288,Olives,'01450,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Olives,Fruits,2004,3.22,0.363,Olives,'01450,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Olives,Fruits,2005,4.26,0.48,Olives,'01450,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Olives,Fruits,2006,4.95,0.563,Olives,'01450,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Olives,Fruits,2007,4.72,0.576,Olives,'01450,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Olives,Fruits,2008,5.06,0.653,Olives,'01450,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Olives,Fruits,2009,3.88,0.482,Olives,'01450,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Olives,Fruits,2010,3.29,0.391,Olives,'01450,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Olives,Fruits,2011,3.63,0.449,Olives,'01450,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Olives,Fruits,2012,3.75,0.435,Olives,'01450,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Olives,Fruits,2013,4.64,0.552,Olives,'01450,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Olives,Fruits,2014,4.57,0.544,Olives,'01450,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Olives,Fruits,2015,4.89,0.501,Olives,'01450,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Olives,Fruits,2016,5.89,0.601,Olives,'01450,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Olives,Fruits,2017,5.31,0.548,Olives,'01450,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Olives,Fruits,2018,5.37,0.572,Olives,'01450,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Olives,Fruits,2019,4.5,0.468,Olives,'01450,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Olives,Fruits,2020,5.24,0.552,Olives,'01450,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Olives,Fruits,2021,5.11,0.568,Olives,'01450,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Olives,Fruits,2022,6.27,0.617,Olives,'01450,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Olives,Fruits,2023,8.69,0.857,Olives,'01450,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Olives,Fruits,2024,11.1,1.116,Olives,'01450,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oranges,Fruits,2000,1.57,0.148,Oranges,'01323,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oranges,Fruits,2001,2.13,0.188,Oranges,'01323,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oranges,Fruits,2002,2.22,0.201,Oranges,'01323,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oranges,Fruits,2003,1.85,0.193,Oranges,'01323,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oranges,Fruits,2004,2.73,0.308,Oranges,'01323,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oranges,Fruits,2005,1.7,0.192,Oranges,'01323,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oranges,Fruits,2006,2.34,0.266,Oranges,'01323,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oranges,Fruits,2007,3.2,0.391,Oranges,'01323,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oranges,Fruits,2008,3.17,0.409,Oranges,'01323,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oranges,Fruits,2009,3.14,0.39,Oranges,'01323,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oranges,Fruits,2010,4.15,0.493,Oranges,'01323,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oranges,Fruits,2011,3.3,0.408,Oranges,'01323,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oranges,Fruits,2012,2.81,0.326,Oranges,'01323,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oranges,Fruits,2013,4.58,0.545,Oranges,'01323,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oranges,Fruits,2014,2.57,0.306,Oranges,'01323,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oranges,Fruits,2015,3.2,0.328,Oranges,'01323,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oranges,Fruits,2016,3.87,0.395,Oranges,'01323,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oranges,Fruits,2017,2.21,0.228,Oranges,'01323,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oranges,Fruits,2018,2.4,0.255,Oranges,'01323,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oranges,Fruits,2019,1.34,0.139,Oranges,'01323,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oranges,Fruits,2020,2.65,0.279,Oranges,'01323,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oranges,Fruits,2021,2.89,0.322,Oranges,'01323,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oranges,Fruits,2022,3.64,0.358,Oranges,'01323,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oranges,Fruits,2023,4.95,0.489,Oranges,'01323,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oranges,Fruits,2024,5.18,0.522,Oranges,'01323,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes,Fruits,2000,5.5,0.518,Apples,'01341,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes,Fruits,2001,5.94,0.526,Apples,'01341,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes,Fruits,2002,6.45,0.585,Apples,'01341,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes,Fruits,2003,6.34,0.662,Apples,'01341,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
